STATE,zipcode,Income
WA,98325,6902
WA,98326,1233
WA,98326,2977
WA,98326,2164
WA,98326,3393
WA,98326,0
WA,98326,0
WA,98327,9870
WA,98327,35732
WA,98327,51975
WA,98327,51903
WA,98327,101827
WA,98327,28977
WA,98328,16051
WA,98328,37090
WA,98328,45558
WA,98328,44927
WA,98328,89955
WA,98328,37060
WA,98329,14773
WA,98329,32063
WA,98329,40152
WA,98329,44395
WA,98329,84380
WA,98329,36327
WA,98330,790
WA,98330,1310
WA,98330,2601
WA,98330,0
WA,98330,0
WA,98330,0
WA,98331,10698
WA,98331,22591
WA,98331,19889
WA,98331,19555
WA,98331,19320
WA,98331,14576
WA,98332,20535
WA,98332,41877
WA,98332,58218
WA,98332,79094
WA,98332,231135
WA,98332,329846
WA,98333,4538
WA,98333,9195
WA,98333,13328
WA,98333,17441
WA,98333,67549
WA,98333,129877
WA,98335,38049
WA,98335,80387
WA,98335,113993
WA,98335,133690
WA,98335,420196
WA,98335,619610
WA,98336,1693
WA,98336,3866
WA,98336,4216
WA,98336,2850
WA,98336,3618
WA,98336,0
WA,98337,15829
WA,98337,31481
WA,98337,29456
WA,98337,21619
WA,98337,27552
WA,98337,7027
WA,98338,44395
WA,98338,100477
WA,98338,125468
WA,98338,131940
WA,98338,258287
WA,98338,72950
WA,98339,9246
WA,98339,16044
WA,98339,14450
WA,98339,13391
WA,98339,20758
WA,98339,8407
WA,98340,3880
WA,98340,9361
WA,98340,10959
WA,98340,13657
WA,98340,36441
WA,98340,18941
WA,98342,2916
WA,98342,5794
WA,98342,6415
WA,98342,9746
WA,98342,19278
WA,98342,12473
WA,98346,17986
WA,98346,35756
WA,98346,43561
WA,98346,46530
WA,98346,104322
WA,98346,88146
WA,98349,8288
WA,98349,15730
WA,98349,19320
WA,98349,18643
WA,98349,31037
WA,98349,16112
WA,98351,1456
WA,98351,3277
WA,98351,3111
WA,98351,3119
WA,98351,8970
WA,98351,0
WA,98354,16242
WA,98354,43289
WA,98354,45750
WA,98354,43890
WA,98354,84374
WA,98354,39569
WA,98355,855
WA,98355,1726
WA,98355,1449
WA,98355,2118
WA,98355,3070
WA,98355,0
WA,98356,4734
WA,98356,8019
WA,98356,9207
WA,98356,7246
WA,98356,15395
WA,98356,0
WA,98358,1788
WA,98358,2467
WA,98358,4237
WA,98358,4183
WA,98358,8921
WA,98358,6968
WA,98359,8415
WA,98359,16934
WA,98359,22868
WA,98359,25135
WA,98359,62040
WA,98359,22571
WA,98360,18742
WA,98360,50170
WA,98360,68704
WA,98360,70713
WA,98360,141501
WA,98360,34415
WA,98361,2507
WA,98361,4023
WA,98361,3622
WA,98361,4172
WA,98361,9410
WA,98361,0
WA,98362,50639
WA,98362,99534
WA,98362,104525
WA,98362,93567
WA,98362,151795
WA,98362,90203
WA,98363,23710
WA,98363,48118
WA,98363,53629
WA,98363,46221
WA,98363,69203
WA,98363,24052
WA,98365,6928
WA,98365,16343
WA,98365,22875
WA,98365,28993
WA,98365,72984
WA,98365,62907
WA,98366,64761
WA,98366,143062
WA,98366,170567
WA,98366,157849
WA,98366,249246
WA,98366,77772
WA,98367,39102
WA,98367,90508
WA,98367,129375
WA,98367,145988
WA,98367,296233
WA,98367,71368
WA,98368,36568
WA,98368,65123
WA,98368,73689
WA,98368,69637
WA,98368,140983
WA,98368,145905
WA,98370,48425
WA,98370,104812
WA,98370,138912
WA,98370,158212
WA,98370,381086
WA,98370,221752
WA,98371,38403
WA,98371,94477
WA,98371,105844
WA,98371,100601
WA,98371,232790
WA,98371,143266
WA,98372,42475
WA,98372,105980
WA,98372,106612
WA,98372,95093
WA,98372,239694
WA,98372,164599
WA,98373,46392
WA,98373,119964
WA,98373,122799
WA,98373,117174
WA,98373,227997
WA,98373,86653
WA,98374,59732
WA,98374,129839
WA,98374,168225
WA,98374,185553
WA,98374,441286
WA,98374,191322
WA,98375,41831
WA,98375,109172
WA,98375,135465
WA,98375,142383
WA,98375,274167
WA,98375,47006
WA,98376,3866
WA,98376,7537
WA,98376,8735
WA,98376,6592
WA,98376,13535
WA,98376,14005
WA,98377,3427
WA,98377,6238
WA,98377,7607
WA,98377,6219
WA,98377,7279
WA,98377,0
WA,98380,7449
WA,98380,15661
WA,98380,24097
WA,98380,30089
WA,98380,67661
WA,98380,34088
WA,98381,518
WA,98381,1751
WA,98381,1404
WA,98381,3728
WA,98381,0
WA,98381,0
WA,98382,60414
WA,98382,111567
WA,98382,132710
WA,98382,126817
WA,98382,222189
WA,98382,170368
WA,98383,39592
WA,98383,100634
WA,98383,114677
WA,98383,116158
WA,98383,251640
WA,98383,144269
WA,98387,85668
WA,98387,211142
WA,98387,230987
WA,98387,199707
WA,98387,284378
WA,98387,43905
WA,98388,11408
WA,98388,28270
WA,98388,29927
WA,98388,28161
WA,98388,75127
WA,98388,60923
WA,98390,23342
WA,98390,53982
WA,98390,62747
WA,98390,50936
WA,98390,115138
WA,98390,45821
WA,98391,65169
WA,98391,154121
WA,98391,209337
WA,98391,250792
WA,98391,649667
WA,98391,403778
WA,98392,6385
WA,98392,15721
WA,98392,13856
WA,98392,12842
WA,98392,24286
WA,98392,10071
WA,98394,3004
WA,98394,6215
WA,98394,9068
WA,98394,10385
WA,98394,21619
WA,98394,10003
WA,98402,11711
WA,98402,26936
WA,98402,30763
WA,98402,20263
WA,98402,34031
WA,98402,64774
WA,98403,16049
WA,98403,43854
WA,98403,36971
WA,98403,29994
WA,98403,74099
WA,98403,121421
WA,98404,75694
WA,98404,169536
WA,98404,125134
WA,98404,82187
WA,98404,79721
WA,98404,13118
WA,98405,54301
WA,98405,110849
WA,98405,100903
WA,98405,69322
WA,98405,88763
WA,98405,17813
WA,98406,40421
WA,98406,85190
WA,98406,100882
WA,98406,106774
WA,98406,248299
WA,98406,123935
WA,98407,34604
WA,98407,82104
WA,98407,109405
WA,98407,108703
WA,98407,247376
WA,98407,239261
WA,98408,42318
WA,98408,101023
WA,98408,94354
WA,98408,66477
WA,98408,71373
WA,98408,10484
WA,98409,60453
WA,98409,137421
WA,98409,100847
WA,98409,60401
WA,98409,56276
WA,98409,19315
WA,98418,23257
WA,98418,52603
WA,98418,47166
WA,98418,30998
WA,98418,39783
WA,98418,0
WA,98422,29494
WA,98422,73944
WA,98422,90066
WA,98422,101309
WA,98422,289415
WA,98422,249418
WA,98424,21146
WA,98424,58983
WA,98424,53271
WA,98424,44449
WA,98424,74664
WA,98424,48222
WA,98433,52369
WA,98433,99202
WA,98433,37903
WA,98433,19411
WA,98433,20135
WA,98433,0
WA,98438,6469
WA,98438,2814
WA,98438,0
WA,98438,4237
WA,98438,0
WA,98438,0
WA,98439,10538
WA,98439,22582
WA,98439,8360
WA,98439,4734
WA,98439,3816
WA,98439,0
WA,98443,9861
WA,98443,24403
WA,98443,27169
WA,98443,26961
WA,98443,59753
WA,98443,37966
WA,98444,85291
WA,98444,173419
WA,98444,114031
WA,98444,69902
WA,98444,77071
WA,98444,14656
WA,98445,61489
WA,98445,150651
WA,98445,143234
WA,98445,119724
WA,98445,166406
WA,98445,32243
WA,98446,19727
WA,98446,45799
WA,98446,51128
WA,98446,46129
WA,98446,95026
WA,98446,26576
WA,98465,15061
WA,98465,31442
WA,98465,30932
WA,98465,25947
WA,98465,51423
WA,98465,44998
WA,98466,53555
WA,98466,128552
WA,98466,124273
WA,98466,110881
WA,98466,257413
WA,98466,177282
WA,98467,29796
WA,98467,59429
WA,98467,55651
WA,98467,56811
WA,98467,159880
WA,98467,118317
WA,98498,54762
WA,98498,128678
WA,98498,122753
WA,98498,113342
WA,98498,215278
WA,98498,152666
WA,98499,79115
WA,98499,148006
WA,98499,98507
WA,98499,67586
WA,98499,104893
WA,98499,134843
WA,98501,69696
WA,98501,155822
WA,98501,194638
WA,98501,189459
WA,98501,446744
WA,98501,256559
WA,98502,63540
WA,98502,113449
WA,98502,130620
WA,98502,130533
WA,98502,309876
WA,98502,323626
WA,98503,79077
WA,98503,182199
WA,98503,179908
WA,98503,156723
WA,98503,245537
WA,98503,63332
WA,98506,38184
WA,98506,78706
WA,98506,88746
WA,98506,84831
WA,98506,166279
WA,98506,114531
WA,98512,50069
WA,98512,122017
WA,98512,146939
WA,98512,139429
WA,98512,277134
WA,98512,124911
WA,98513,55313
WA,98513,141329
WA,98513,168350
WA,98513,160886
WA,98513,285454
WA,98513,86204
WA,98516,36258
WA,98516,90222
WA,98516,103983
WA,98516,111190
WA,98516,251490
WA,98516,136967
WA,98520,45229
WA,98520,77915
WA,98520,71513
WA,98520,59909
WA,98520,89616
WA,98520,56899
WA,98524,5623
WA,98524,12489
WA,98524,20400
WA,98524,22414
WA,98524,38644
WA,98524,16245
WA,98526,703
WA,98526,1423
WA,98526,2648
WA,98526,0
WA,98526,0
WA,98526,0
WA,98528,18339
WA,98528,40166
WA,98528,53205
WA,98528,47103
WA,98528,77175
WA,98528,29484
WA,98531,61056
WA,98531,104346
WA,98531,90491
WA,98531,69182
WA,98531,86670
WA,98531,45731
WA,98532,44377
WA,98532,86598
WA,98532,97317
WA,98532,92841
WA,98532,149963
WA,98532,87198
WA,98533,1151
WA,98533,1989
WA,98533,2506
WA,98533,4829
WA,98533,0
WA,98533,0
WA,98535,1037
WA,98535,1679
WA,98535,2097
WA,98535,2175
WA,98535,0
WA,98535,0
WA,98537,3862
WA,98537,10341
WA,98537,11606
WA,98537,8297
WA,98537,15994
WA,98537,0
WA,98538,821
WA,98538,1559
WA,98538,3034
WA,98538,0
WA,98538,3852
WA,98538,0
WA,98541,17944
WA,98541,37047
WA,98541,38479
WA,98541,35522
WA,98541,47170
WA,98541,13636
WA,98542,1258
WA,98542,2279
WA,98542,2797
WA,98542,2334
WA,98542,2838
WA,98542,0
WA,98546,4646
WA,98546,10259
WA,98546,14738
WA,98546,11307
WA,98546,22501
WA,98546,22998
WA,98547,3124
WA,98547,4327
WA,98547,4347
WA,98547,2370
WA,98547,9138
WA,98547,0
WA,98548,4477
WA,98548,9356
WA,98548,9155
WA,98548,7663
WA,98548,9690
WA,98548,7516
WA,98550,24518
WA,98550,39560
WA,98550,39501
WA,98550,27550
WA,98550,34267
WA,98550,17365
WA,98552,896
WA,98552,1123
WA,98552,2551
WA,98552,0
WA,98552,0
WA,98552,0
WA,98555,1099
WA,98555,1620
WA,98555,3122
WA,98555,1708
WA,98555,5483
WA,98555,0
WA,98557,5797
WA,98557,13807
WA,98557,16247
WA,98557,13741
WA,98557,20717
WA,98557,0
WA,98560,524
WA,98560,1115
WA,98560,1253
WA,98560,2073
WA,98560,0
WA,98560,0
WA,98563,12863
WA,98563,29647
WA,98563,39620
WA,98563,38532
WA,98563,60119
WA,98563,26477
WA,98564,4635
WA,98564,9600
WA,98564,8992
WA,98564,8745
WA,98564,13962
WA,98564,0
WA,98568,5501
WA,98568,10127
WA,98568,10807
WA,98568,8230
WA,98568,12732
WA,98568,0
WA,98569,14144
WA,98569,23499
WA,98569,23345
WA,98569,19355
WA,98569,32029
WA,98569,13534
WA,98570,7768
WA,98570,14579
WA,98570,17965
WA,98570,16998
WA,98570,22133
WA,98570,0
WA,98572,1773
WA,98572,3302
WA,98572,3561
WA,98572,2934
WA,98572,3252
WA,98572,0
WA,98576,10458
WA,98576,20917
WA,98576,23941
WA,98576,21216
WA,98576,33869
WA,98576,7533
WA,98577,11798
WA,98577,21626
WA,98577,22414
WA,98577,21250
WA,98577,27054
WA,98577,9045
WA,98579,23791
WA,98579,52069
WA,98579,56184
WA,98579,55194
WA,98579,81502
WA,98579,19447
WA,98580,15467
